0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00002          a0=0x80000040+0x00002000=0x80002040
0x80000044:addi   a0,a0,0x81c         a0=0x80002040+0xfffff81c=0x8000185c
0x80000048:auipc  a1,0x00002          a1=0x80000048+0x00002000=0x80002048
0x8000004c:addi   a1,a1,0x814         a1=0x80002048+0xfffff814=0x8000185c
0x80000050:sw     zero,0x000(a0)      mem[0x8000185c]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x8000185c+0x00000004=0x80001860
0x80000058:blt    a0,a1,0xffc         (0x80001860<0x8000185c)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00496          pc=0x800009d8,ra=0x800000b0
0x800009d8:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x800009dc:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x800009e0:jal    ra,0xffc1e          pc=0x8000021c,ra=0x800009e4
0x8000021c:lui    gp,0x01010          gp=0x01010000
0x80000220:addi   gp,gp,0x101         gp=0x01010000+0x00000101=0x01010101
0x80000224:lui    tp,0x10101          tp=0x10101000
0x80000228:addi   tp,tp,0x010         tp=0x10101000+0x00000010=0x10101010
0x8000022c:lui    a0,0xa0a0a          a0=0xa0a0a000
0x80000230:addi   a0,a0,0x0a0         a0=0xa0a0a000+0x000000a0=0xa0a0a0a0
0x80000234:lui    a1,0xa1a1a          a1=0xa1a1a000
0x80000238:addi   a1,a1,0x1a1         a1=0xa1a1a000+0x000001a1=0xa1a1a1a1
0x8000023c:lui    a2,0xa2a2a          a2=0xa2a2a000
0x80000240:addi   a2,a2,0x2a2         a2=0xa2a2a000+0x000002a2=0xa2a2a2a2
0x80000244:lui    a3,0xa3a3a          a3=0xa3a3a000
0x80000248:addi   a3,a3,0x3a3         a3=0xa3a3a000+0x000003a3=0xa3a3a3a3
0x8000024c:lui    a4,0xa4a4a          a4=0xa4a4a000
0x80000250:addi   a4,a4,0x4a4         a4=0xa4a4a000+0x000004a4=0xa4a4a4a4
0x80000254:lui    a5,0xa5a5a          a5=0xa5a5a000
0x80000258:addi   a5,a5,0x5a5         a5=0xa5a5a000+0x000005a5=0xa5a5a5a5
0x8000025c:lui    a6,0xa6a6a          a6=0xa6a6a000
0x80000260:addi   a6,a6,0x6a6         a6=0xa6a6a000+0x000006a6=0xa6a6a6a6
0x80000264:lui    a7,0xa7a7a          a7=0xa7a7a000
0x80000268:addi   a7,a7,0x7a7         a7=0xa7a7a000+0x000007a7=0xa7a7a7a7
0x8000026c:lui    t0,0x20202          t0=0x20202000
0x80000270:addi   t0,t0,0x020         t0=0x20202000+0x00000020=0x20202020
0x80000274:lui    t1,0x21212          t1=0x21212000
0x80000278:addi   t1,t1,0x121         t1=0x21212000+0x00000121=0x21212121
0x8000027c:lui    t2,0x22222          t2=0x22222000
0x80000280:addi   t2,t2,0x222         t2=0x22222000+0x00000222=0x22222222
0x80000284:lui    t3,0x23232          t3=0x23232000
